account_id,district_name,open_date,statement_frequency,num_customers,credit_cards,loan,loan_amount,loan_payments,loan_term,loan_status,loan_default,max_withdrawal,min_withdrawal,cc_payments,max_balance,min_balance
49,Hl.m. Praha,1997-04-06,monthly,1,NA,F,NA,NA,NA,NA,NA,3520,15,NA,24004,300
50,Hl.m. Praha,1994-05-06,monthly,1,NA,F,NA,NA,NA,NA,NA,23600,15,NA,90088,900
51,Bruntal,1996-05-11,monthly,1,1,F,NA,NA,NA,NA,NA,26300,15,4,106203,800
52,Jindrichuv Hradec,1997-01-29,monthly,1,NA,F,NA,NA,NA,NA,NA,42300,15,NA,83077,900
53,Vsetin,1995-06-07,monthly,1,NA,F,NA,NA,NA,NA,NA,3900,15,NA,27519,700
54,Kladno,1995-05-02,monthly,1,NA,F,NA,NA,NA,NA,NA,8070,15,NA,29756,1000
55,Strakonice,1996-02-19,monthly,1,NA,F,NA,NA,NA,NA,NA,4300,15,NA,23445,300
56,Svitavy,1994-05-16,monthly,1,NA,F,NA,NA,NA,NA,NA,29600,15,NA,78757,900
57,Hl.m. Praha,1995-05-21,monthly,1,NA,F,NA,NA,NA,NA,NA,25300,15,NA,77726,700
58,Rokycany,1996-08-23,monthly,1,NA,F,NA,NA,NA,NA,NA,14250,6,NA,28954,-2204
59,Hradec Kralove,1994-03-27,monthly,1,NA,F,NA,NA,NA,NA,NA,22880,15,NA,89720,600
61,Karvina,1993-12-11,monthly,2,NA,F,NA,NA,NA,NA,NA,5850,15,NA,31765,700
62,Pardubice,1993-03-28,monthly,1,NA,F,NA,NA,NA,NA,NA,7600,15,NA,36366,1100
63,Domazlice,1996-11-16,monthly,2,NA,F,NA,NA,NA,NA,NA,11650,15,NA,37303,600
64,Zlin,1997-03-11,monthly,1,NA,F,NA,NA,NA,NA,NA,32200,200,NA,79559,200
65,Liberec,1996-10-29,monthly,1,1,F,NA,NA,NA,NA,NA,26800,15,12,85379,600
67,Jindrichuv Hradec,1994-10-19,monthly,1,NA,T,165960,6915,24,expired,F,61500,15,NA,134939,700
69,Zlin,1996-01-12,monthly,1,NA,F,NA,NA,NA,NA,NA,22800,15,NA,71708,600
70,Mlada Boleslav,1995-02-18,monthly,2,NA,F,NA,NA,NA,NA,NA,20320,15,NA,60184,500
71,Hl.m. Praha,1994-03-05,monthly,2,1,F,NA,NA,NA,NA,NA,39520,15,22,94860,700
73,Olomouc,1993-11-08,monthly,1,1,F,NA,NA,NA,NA,NA,44160,15,47,89175,400
75,Hl.m. Praha,1995-08-13,monthly,1,NA,F,NA,NA,NA,NA,NA,20300,15,NA,49848,700
76,Usti nad Orlici,1996-05-16,monthly,1,NA,F,NA,NA,NA,NA,NA,22400,15,NA,49609,200
77,Vyskov,1996-11-19,monthly,1,NA,F,NA,NA,NA,NA,NA,36200,15,NA,56325,400
78,Ostrava - mesto,1993-07-07,monthly,1,NA,F,NA,NA,NA,NA,NA,21100,15,NA,78733,400
79,Beroun,1996-11-29,monthly,1,NA,F,NA,NA,NA,NA,NA,3680,15,NA,27474,600
80,Hradec Kralove,1995-09-27,monthly,2,NA,F,NA,NA,NA,NA,NA,5250,15,NA,28082,900
81,Ostrava - mesto,1996-07-18,monthly,1,NA,F,NA,NA,NA,NA,NA,3800,15,NA,39080,1000
82,Plzen - mesto,1994-05-03,monthly,1,NA,F,NA,NA,NA,NA,NA,61100,15,NA,161574,300
83,Plzen - mesto,1993-04-16,monthly,2,NA,F,NA,NA,NA,NA,NA,14080,15,NA,42435,500
85,Frydek - Mistek,1997-03-23,monthly,1,NA,F,NA,NA,NA,NA,NA,7200,15,NA,59467,400
86,Brno - mesto,1993-03-07,monthly,2,NA,F,NA,NA,NA,NA,NA,8880,15,NA,28700,800
88,Tachov,1996-07-03,monthly,1,NA,F,NA,NA,NA,NA,NA,2550,15,NA,27174,300
89,Frydek - Mistek,1997-09-25,monthly,1,NA,F,NA,NA,NA,NA,NA,10200,15,NA,39075,600
90,Hl.m. Praha,1994-07-13,monthly,1,NA,F,NA,NA,NA,NA,NA,25120,15,NA,74107,500
91,Pelhrimov,1996-11-06,monthly,1,NA,F,NA,NA,NA,NA,NA,34700,1,NA,77111,-4188
93,Benesov,1996-06-12,monthly,1,NA,F,NA,NA,NA,NA,NA,24400,15,NA,38377,500
95,Hl.m. Praha,1995-03-30,monthly,2,1,F,NA,NA,NA,NA,NA,32000,15,23,97808,200
96,Frydek - Mistek,1993-02-18,monthly,2,1,F,NA,NA,NA,NA,NA,67500,15,17,156580,1100
97,Ostrava - mesto,1996-05-05,monthly,2,1,T,102876,8573,12,expired,F,18600,3,5,67288,900
98,Brno - venkov,1997-05-02,monthly,2,NA,F,NA,NA,NA,NA,NA,7700,15,NA,25586,1100
99,Hl.m. Praha,1995-06-27,monthly,1,NA,F,NA,NA,NA,NA,NA,64900,15,NA,122885,600
100,Usti nad Labem,1993-12-28,monthly,1,NA,F,NA,NA,NA,NA,NA,35040,15,NA,84377,600
101,Jablonec n. Nisou,1996-04-16,monthly,1,NA,F,NA,NA,NA,NA,NA,46240,15,NA,81423,1000
102,Praha - zapad,1993-10-16,monthly,1,NA,F,NA,NA,NA,NA,NA,29600,0,NA,96777,-7104
103,Chrudim,1996-03-10,monthly,1,NA,T,265320,7370,36,current,F,62700,4,NA,124758,-1140
104,Litomerice,1993-04-15,monthly,2,NA,F,NA,NA,NA,NA,NA,8700,15,NA,31741,500
105,Tabor,1997-07-10,monthly,1,1,T,352704,7348,48,current,F,29900,15,NA,74694,800
106,Vyskov,1994-11-27,monthly,1,1,F,NA,NA,NA,NA,NA,18800,15,36,76991,500
107,Zlin,1993-11-05,monthly,1,NA,F,NA,NA,NA,NA,NA,5760,15,NA,50612,1000
108,Blansko,1995-03-10,monthly,1,1,F,NA,NA,NA,NA,NA,34720,15,9,88609,800
109,Blansko,1997-04-20,monthly,1,1,F,NA,NA,NA,NA,NA,9100,15,2,53624,1100
110,Liberec,1996-07-17,monthly,1,1,T,162576,4516,36,current,F,44480,15,5,79652,900
112,Kutna Hora,1993-03-12,monthly,2,NA,F,NA,NA,NA,NA,NA,38500,15,NA,52895,200
113,Brno - venkov,1996-07-22,monthly,1,NA,F,NA,NA,NA,NA,NA,6800,15,NA,32697,600
114,Prostejov,1997-03-14,monthly,1,NA,F,NA,NA,NA,NA,NA,6000,15,NA,27332,500
115,Frydek - Mistek,1993-03-19,monthly,1,1,F,NA,NA,NA,NA,NA,11100,15,22,52047,800
116,Mlada Boleslav,1996-03-21,monthly,2,NA,F,NA,NA,NA,NA,NA,31400,15,NA,77466,800
117,Tachov,1993-09-05,monthly,1,NA,F,NA,NA,NA,NA,NA,11200,15,NA,32382,900
118,Frydek - Mistek,1997-09-18,monthly,1,NA,F,NA,NA,NA,NA,NA,5000,15,NA,40532,600
119,Plzen - jih,1993-05-25,monthly,1,NA,F,NA,NA,NA,NA,NA,21200,15,NA,70508,800
121,Brno - venkov,1997-10-11,monthly,1,NA,F,NA,NA,NA,NA,NA,5600,15,NA,37504,200
122,Tachov,1996-10-30,monthly,1,1,F,NA,NA,NA,NA,NA,29400,15,1,86062,900
123,Tabor,1993-03-13,monthly,2,NA,F,NA,NA,NA,NA,NA,4500,15,NA,27494,200
124,Brno - venkov,1997-12-28,monthly,1,NA,F,NA,NA,NA,NA,NA,4900,15,NA,26468,800
126,Kolin,1993-10-23,monthly,1,NA,F,NA,NA,NA,NA,NA,48900,15,NA,118219,200
127,Rokycany,1994-02-02,monthly,1,NA,F,NA,NA,NA,NA,NA,6400,15,NA,23673,600
128,Benesov,1993-02-19,monthly,1,1,F,NA,NA,NA,NA,NA,21900,15,44,86413,300
129,Ostrava - mesto,1997-10-01,monthly,2,NA,F,NA,NA,NA,NA,NA,7200,15,NA,29052,600
130,Brno - mesto,1997-02-12,monthly,1,NA,F,NA,NA,NA,NA,NA,7350,15,NA,35067,300
131,Usti nad Orlici,1995-06-13,monthly,1,NA,F,NA,NA,NA,NA,NA,33000,15,NA,48212,5496
134,Chomutov,1997-12-10,monthly,1,1,F,NA,NA,NA,NA,NA,12700,15,1,47697,300
135,Prerov,1993-06-15,monthly,1,NA,F,NA,NA,NA,NA,NA,24700,15,NA,75906,700
136,Ostrava - mesto,1996-05-14,monthly,1,NA,F,NA,NA,NA,NA,NA,8100,15,NA,32170,600
137,Karvina,1996-07-19,monthly,1,NA,F,NA,NA,NA,NA,NA,36000,15,NA,81958,900
138,Domazlice,1995-09-19,monthly,2,NA,F,NA,NA,NA,NA,NA,4700,200,NA,21200,1100
140,Karlovy Vary,1996-06-25,monthly,1,NA,F,NA,NA,NA,NA,NA,24600,15,NA,84824,300
141,Louny,1996-03-06,monthly,2,NA,F,NA,NA,NA,NA,NA,45100,15,NA,89665,900
142,Trutnov,1993-02-15,monthly,2,NA,F,NA,NA,NA,NA,NA,6200,15,NA,30167,900
143,Tabor,1996-11-27,monthly,1,NA,F,NA,NA,NA,NA,NA,4500,15,NA,27564,500
145,Tachov,1996-01-03,monthly,1,NA,F,NA,NA,NA,NA,NA,28900,15,NA,68969,1100
146,Kladno,1993-09-02,monthly,1,NA,F,NA,NA,NA,NA,NA,11050,15,NA,38814,500
148,Mlada Boleslav,1993-06-21,monthly,1,NA,F,NA,NA,NA,NA,NA,3400,15,NA,27206,500
149,Hradec Kralove,1997-11-16,monthly,1,NA,F,NA,NA,NA,NA,NA,21200,15,NA,58484,300
150,Opava,1995-03-16,monthly,1,NA,F,NA,NA,NA,NA,NA,27400,15,NA,98752,1900
151,Sumperk,1993-09-06,monthly,2,NA,F,NA,NA,NA,NA,NA,7100,15,NA,34425,1000
152,Hl.m. Praha,1996-04-12,monthly,2,NA,F,NA,NA,NA,NA,NA,6300,15,NA,35746,1100
153,Vsetin,1993-09-19,monthly,1,NA,F,NA,NA,NA,NA,NA,17200,15,NA,53039,400
154,Nachod,1994-06-21,monthly,1,NA,F,NA,NA,NA,NA,NA,18900,15,NA,96137,900
155,Jihlava,1995-11-07,monthly,1,NA,F,NA,NA,NA,NA,NA,14560,15,NA,38532,300
156,Zlin,1997-10-22,monthly,1,NA,F,NA,NA,NA,NA,NA,8430,15,NA,21707,1000
157,Praha - zapad,1997-03-28,monthly,1,NA,F,NA,NA,NA,NA,NA,6300,15,NA,39576,200
158,Litomerice,1995-03-15,monthly,2,NA,F,NA,NA,NA,NA,NA,33200,15,NA,83034,700
159,Karvina,1997-02-11,monthly,1,1,F,NA,NA,NA,NA,NA,25600,15,4,103034,800
160,Cheb,1993-09-04,monthly,1,NA,F,NA,NA,NA,NA,NA,57100,15,NA,113217,400
161,Plzen - sever,1994-07-04,monthly,1,NA,F,NA,NA,NA,NA,NA,14450,15,NA,29469,900
162,Prostejov,1993-08-25,monthly,2,NA,F,NA,NA,NA,NA,NA,13900,15,NA,40827,200
163,Sokolov,1993-01-27,monthly,1,NA,F,NA,NA,NA,NA,NA,9050,15,NA,43752,900
164,Prostejov,1996-09-13,monthly,1,NA,F,NA,NA,NA,NA,NA,21700,100,NA,67994,200
165,Klatovy,1993-06-01,monthly,2,NA,F,NA,NA,NA,NA,NA,14650,15,NA,62489,1000
166,Pelhrimov,1996-08-20,monthly,1,NA,F,NA,NA,NA,NA,NA,4300,15,NA,31842,800
168,Tachov,1993-04-27,monthly,2,NA,F,NA,NA,NA,NA,NA,8100,15,NA,24794,500
169,Kladno,1995-09-28,monthly,1,NA,F,NA,NA,NA,NA,NA,14600,15,NA,78256,500
170,Kromeriz,1996-07-02,monthly,1,NA,F,NA,NA,NA,NA,NA,22100,15,NA,79183,1000
171,Nachod,1996-06-08,monthly,1,NA,F,NA,NA,NA,NA,NA,6700,15,NA,33192,500
172,Rakovnik,1993-08-30,monthly,2,1,F,NA,NA,NA,NA,NA,46720,15,1,78889,700
173,Zdar nad Sazavou,1993-11-26,monthly,2,NA,T,104808,8734,12,expired,F,18560,15,NA,87882,500
174,Usti nad Orlici,1996-09-04,monthly,1,NA,F,NA,NA,NA,NA,NA,3400,15,NA,21345,900
177,Hl.m. Praha,1997-09-26,monthly,1,NA,F,NA,NA,NA,NA,NA,25300,15,NA,75171,800
178,Kromeriz,1997-09-06,monthly,1,NA,F,NA,NA,NA,NA,NA,2100,15,NA,18082,1000
181,Tabor,1996-06-11,monthly,1,1,F,NA,NA,NA,NA,NA,10400,15,17,52501,200
182,Pardubice,1996-08-24,monthly,1,NA,F,NA,NA,NA,NA,NA,5600,1900,NA,16900,200
183,Hradec Kralove,1993-12-12,monthly,1,NA,F,NA,NA,NA,NA,NA,21440,15,NA,63967,200
184,Vsetin,1996-02-21,monthly,1,NA,F,NA,NA,NA,NA,NA,24000,15,NA,86912,600
185,Ceska Lipa,1997-07-04,monthly,1,1,F,NA,NA,NA,NA,NA,18900,15,2,79865,1000
187,Kolin,1993-03-28,monthly,1,NA,F,NA,NA,NA,NA,NA,4200,15,NA,26365,200
188,Brno - mesto,1993-04-20,monthly,1,NA,F,NA,NA,NA,NA,NA,26080,15,NA,100010,700
189,Sumperk,1997-04-16,monthly,1,NA,F,NA,NA,NA,NA,NA,28320,15,NA,76341,700
190,Ostrava - mesto,1995-03-02,monthly,1,NA,F,NA,NA,NA,NA,NA,23500,15,NA,69474,500
191,Usti nad Labem,1997-03-17,monthly,1,1,F,NA,NA,NA,NA,NA,48000,15,NA,126097,600
192,Brno - venkov,1993-01-08,monthly,1,NA,F,NA,NA,NA,NA,NA,13450,15,NA,39284,300
193,Jesenik,1996-12-22,monthly,2,NA,F,NA,NA,NA,NA,NA,11500,15,NA,39963,300
194,Chrudim,1996-08-01,monthly,1,NA,F,NA,NA,NA,NA,NA,5550,15,NA,38894,400
195,Karvina,1997-02-27,monthly,2,1,F,NA,NA,NA,NA,NA,13100,15,4,56940,600
196,Kladno,1993-11-14,monthly,1,1,F,NA,NA,NA,NA,NA,29700,15,32,86238,400
197,Hl.m. Praha,1993-02-25,monthly,1,NA,F,NA,NA,NA,NA,NA,43040,15,NA,76344,800
198,Karvina,1993-10-25,monthly,1,NA,F,NA,NA,NA,NA,NA,12450,15,NA,30570,900
199,Karvina,1996-10-26,monthly,1,NA,F,NA,NA,NA,NA,NA,2970,15,NA,29612,700
200,Pelhrimov,1994-07-03,monthly,1,1,F,NA,NA,NA,NA,NA,47200,15,20,125341,900
201,Vyskov,1994-11-02,monthly,1,NA,F,NA,NA,NA,NA,NA,15200,15,NA,62199,600
204,Bruntal,1996-01-13,monthly,1,NA,F,NA,NA,NA,NA,NA,1950,15,NA,27125,600
205,Hl.m. Praha,1997-10-08,monthly,1,NA,F,NA,NA,NA,NA,NA,6300,15,NA,45527,1000
206,Trebic,1995-04-08,monthly,2,NA,F,NA,NA,NA,NA,NA,8480,15,NA,42635,1100
207,Benesov,1993-07-25,monthly,1,NA,F,NA,NA,NA,NA,NA,8100,10,NA,36471,900
208,Brno - mesto,1996-03-27,monthly,1,NA,F,NA,NA,NA,NA,NA,17800,15,NA,61131,700
209,Litomerice,1996-11-24,monthly,1,NA,F,NA,NA,NA,NA,NA,4600,15,NA,45817,900
210,Rychnov nad Kneznou,1996-03-17,monthly,1,NA,F,NA,NA,NA,NA,NA,25120,15,NA,56027,1000
211,Plzen - sever,1997-07-19,monthly,1,1,F,NA,NA,NA,NA,NA,59600,15,NA,151101,800
213,Opava,1995-08-29,monthly,1,1,F,NA,NA,NA,NA,NA,26400,15,13,87659,1000
214,Domazlice,1997-03-09,monthly,2,NA,F,NA,NA,NA,NA,NA,2130,15,NA,17518,500
215,Tachov,1997-11-25,monthly,2,NA,F,NA,NA,NA,NA,NA,4590,15,NA,19113,1000
216,Louny,1994-05-16,monthly,1,NA,F,NA,NA,NA,NA,NA,8600,15,NA,36351,500
217,Vsetin,1995-01-20,monthly,1,NA,F,NA,NA,NA,NA,NA,19700,15,NA,48581,800
218,Frydek - Mistek,1996-02-06,monthly,1,NA,F,NA,NA,NA,NA,NA,59800,0,NA,146909,-2172
219,Plzen - sever,1995-09-06,monthly,1,1,F,NA,NA,NA,NA,NA,20800,15,1,81085,500
220,Olomouc,1993-04-09,monthly,1,NA,F,NA,NA,NA,NA,NA,7850,15,NA,36356,400
221,Prachatice,1996-10-30,monthly,1,NA,F,NA,NA,NA,NA,NA,25400,15,NA,69998,300
222,Litomerice,1993-03-15,monthly,1,1,F,NA,NA,NA,NA,NA,50800,15,2,106492,500
223,Most,1995-06-13,monthly,1,1,F,NA,NA,NA,NA,NA,25800,15,21,76631,800
224,Cesky Krumlov,1996-10-27,monthly,1,NA,F,NA,NA,NA,NA,NA,9350,15,NA,28997,1100
225,Hl.m. Praha,1993-07-28,monthly,2,NA,F,NA,NA,NA,NA,NA,27520,2,NA,92940,1000
226,Karvina,1997-02-23,monthly,1,1,T,109344,9112,12,current,F,23400,15,6,80433,1000
227,Plzen - jih,1995-03-28,monthly,1,1,F,NA,NA,NA,NA,NA,52000,15,NA,119200,700
228,Kolin,1993-09-28,monthly,1,NA,F,NA,NA,NA,NA,NA,53500,15,NA,81057,800
229,Hl.m. Praha,1997-06-07,monthly,1,NA,F,NA,NA,NA,NA,NA,3760,15,NA,32493,1100
230,Hl.m. Praha,1996-02-26,monthly,2,NA,F,NA,NA,NA,NA,NA,20300,15,NA,66172,600
231,Domazlice,1995-04-03,monthly,2,NA,F,NA,NA,NA,NA,NA,2700,15,NA,21913,900
232,Jicin,1997-11-29,monthly,1,1,F,NA,NA,NA,NA,NA,46720,15,2,84657,700
234,Opava,1993-07-15,monthly,2,NA,F,NA,NA,NA,NA,NA,11000,15,NA,29550,500
235,Usti nad Labem,1993-10-06,monthly,1,NA,F,NA,NA,NA,NA,NA,5070,15,NA,30633,1000
236,Olomouc,1996-03-16,monthly,2,NA,F,NA,NA,NA,NA,NA,3700,300,NA,24700,900
237,Svitavy,1994-03-25,monthly,1,NA,F,NA,NA,NA,NA,NA,6200,15,NA,19487,900
238,Kutna Hora,1993-08-15,monthly,1,NA,F,NA,NA,NA,NA,NA,2850,15,NA,21972,500
240,Olomouc,1997-04-28,monthly,2,NA,F,NA,NA,NA,NA,NA,23600,15,NA,67915,300
241,Cesky Krumlov,1996-09-29,monthly,1,NA,F,NA,NA,NA,NA,NA,5040,15,NA,41009,500
242,Jesenik,1996-08-29,monthly,1,NA,F,NA,NA,NA,NA,NA,47520,15,NA,72333,500
244,Karlovy Vary,1993-02-08,monthly,1,1,F,NA,NA,NA,NA,NA,8370,15,6,62976,800
245,Znojmo,1993-11-25,monthly,1,NA,F,NA,NA,NA,NA,NA,62800,0,NA,135093,-1211
246,Znojmo,1997-12-20,monthly,2,NA,F,NA,NA,NA,NA,NA,7500,15,NA,19310,700
248,Hl.m. Praha,1995-04-02,monthly,1,NA,F,NA,NA,NA,NA,NA,29700,15,NA,74703,700
249,Plzen - sever,1996-12-03,monthly,1,NA,F,NA,NA,NA,NA,NA,20800,15,NA,64867,600
250,Breclav,1997-05-10,monthly,1,NA,F,NA,NA,NA,NA,NA,5800,15,NA,52311,500
251,Ostrava - mesto,1996-04-06,monthly,1,NA,F,NA,NA,NA,NA,NA,13600,15,NA,61297,900
252,Prachatice,1996-12-26,monthly,1,NA,F,NA,NA,NA,NA,NA,6600,15,NA,52630,1000
253,Nachod,1995-12-05,monthly,1,1,F,NA,NA,NA,NA,NA,47680,2,12,106815,-1213
255,Frydek - Mistek,1996-11-03,monthly,1,NA,F,NA,NA,NA,NA,NA,40800,15,NA,101534,900
256,Litomerice,1995-05-14,monthly,1,1,F,NA,NA,NA,NA,NA,34200,15,12,76527,1100
257,Praha - zapad,1995-11-05,monthly,1,NA,F,NA,NA,NA,NA,NA,64500,15,NA,136264,900
258,Zlin,1997-07-09,monthly,1,NA,F,NA,NA,NA,NA,NA,5600,15,NA,38349,900
259,Benesov,1993-10-28,monthly,1,NA,F,NA,NA,NA,NA,NA,14650,15,NA,37228,600
260,Karlovy Vary,1995-10-14,monthly,2,NA,F,NA,NA,NA,NA,NA,19200,15,NA,56754,600
261,Brno - mesto,1996-10-07,monthly,1,NA,F,NA,NA,NA,NA,NA,8500,15,NA,26402,200
262,Prerov,1996-01-27,monthly,1,NA,F,NA,NA,NA,NA,NA,3300,200,NA,23400,200
264,Cesky Krumlov,1996-02-09,monthly,1,NA,F,NA,NA,NA,NA,NA,19520,15,NA,44212,900
265,Prachatice,1996-07-05,monthly,2,NA,F,NA,NA,NA,NA,NA,8300,15,NA,28571,600
266,Pardubice,1994-05-11,monthly,1,1,F,NA,NA,NA,NA,NA,55800,15,2,137653,400
267,Louny,1995-04-26,monthly,2,NA,F,NA,NA,NA,NA,NA,3840,15,NA,30016,500
268,Beroun,1996-05-29,monthly,1,NA,F,NA,NA,NA,NA,NA,42200,15,NA,124186,500
269,Beroun,1996-08-30,monthly,1,NA,F,NA,NA,NA,NA,NA,8670,15,NA,43387,700
270,Plzen - jih,1995-01-23,monthly,2,1,F,NA,NA,NA,NA,NA,36960,15,7,116900,1100
271,Hl.m. Praha,1996-08-13,monthly,1,NA,F,NA,NA,NA,NA,NA,12500,15,NA,62743,400
272,Praha - zapad,1996-10-23,monthly,1,NA,F,NA,NA,NA,NA,NA,34700,15,NA,57855,1100
274,Sumperk,1993-08-20,monthly,1,NA,F,NA,NA,NA,NA,NA,26240,15,NA,68094,300
275,Rokycany,1996-01-02,monthly,1,NA,F,NA,NA,NA,NA,NA,2400,15,NA,22668,800
276,Louny,1997-12-08,monthly,1,1,T,160920,4470,36,current,F,24800,15,1,74906,700
278,Opava,1996-04-08,monthly,1,1,F,NA,NA,NA,NA,NA,23600,15,5,97478,700
279,Most,1993-04-14,monthly,2,NA,F,NA,NA,NA,NA,NA,3300,15,NA,32821,400
280,Klatovy,1993-01-23,monthly,1,NA,F,NA,NA,NA,NA,NA,17440,15,NA,69718,300
281,Hl.m. Praha,1996-10-27,monthly,2,1,F,NA,NA,NA,NA,NA,36320,15,1,72297,900
282,Jesenik,1997-05-12,monthly,2,NA,F,NA,NA,NA,NA,NA,23400,15,NA,69350,200
283,Chrudim,1996-04-18,monthly,1,NA,F,NA,NA,NA,NA,NA,6950,15,NA,30907,800
284,Brno - mesto,1997-07-18,monthly,1,NA,F,NA,NA,NA,NA,NA,25100,15,NA,66377,900
285,Pelhrimov,1995-05-08,monthly,2,NA,F,NA,NA,NA,NA,NA,45120,15,NA,105299,600
286,Novy Jicin,1996-03-27,monthly,2,1,F,NA,NA,NA,NA,NA,25900,15,10,74623,300
287,Jindrichuv Hradec,1993-10-27,monthly,1,NA,F,NA,NA,NA,NA,NA,6300,15,NA,27025,600
288,Klatovy,1995-03-18,monthly,1,NA,F,NA,NA,NA,NA,NA,4600,15,NA,37478,900
289,Hl.m. Praha,1994-03-17,monthly,1,NA,F,NA,NA,NA,NA,NA,17400,15,NA,69171,300
290,Breclav,1993-12-02,monthly,1,NA,T,123696,2577,48,expired,F,60000,15,NA,144053,300
291,Melnik,1997-06-08,monthly,1,NA,F,NA,NA,NA,NA,NA,63200,15,NA,168515,7419
